id,title,tempo,zero_crossing_rating,pitch,loudness,length
1296,"엄마가 딸에게 (Feat. Tymee, 김규리)",139.6748311,17856,529.4611489,6831360,529.4611489
1297,나무,139.6748311,13006,412.4902627,4900344,412.4902627
1298,위로,79.50721154,26399,433.0383639,5598720,433.0383639
1299,Get (Feat. Beenzino),112.3471467,15036,504.1082115,4561344,504.1082115
1300,Moai,101.3327206,6555,343.4009935,5698104,343.4009935
1301,"그때의 나, 그때의 우리",123.046875,11329,542.4829149,4367544,542.4829149
1302,소원,126.0480183,24546,463.2419877,5211960,463.2419877
1303,목요일 밤 (Feat. 빈지노),90.66611842,15095,484.6897157,4647480,484.6897157
1304,서울 밤 (feat. 빈지노),178.205819,28965,532.594029,4523640,532.594029
1305,널 사랑하지 않아,156.6051136,6965,497.5633441,5620920,497.5633441
1306,혼자,139.6748311,6148,374.0958669,4335864,374.0958669
1307,"묘해, 너와",66.25600962,20420,533.5955365,5299200,533.5955365
1308,이쁘다니까,126.0480183,23001,489.399701,4322040,489.399701
1309,너 사용법,184.5703125,7655,408.4108927,4003776,408.4108927
1310,천국의 문 (Heaven`s Door),90.66611842,35847,545.6902039,4499712,545.6902039
1311,DREAM (Feat. 박지민 Of 15&),172.265625,26432,312.9738825,4139712,312.9738825
1312,Interview,123.046875,25601,374.706478,4531128,374.706478
1313,Good For You,114.84375,9277,381.124539,4278264,381.124539
1314,Stop The Rain,89.10290948,20072,462.2000523,4402680,462.2000523
1315,No Comment,112.3471467,6688,423.8049064,5021880,423.8049064
1316,Good For You (International Ver.),114.84375,9325,376.732164,4276536,376.732164
1317,녹여줘,109.9567819,24194,525.3018803,5080320,525.3018803
1318,못참겠어 (Feat. 로꼬),123.046875,25894,673.411945,4171128,673.411945
1319,우우 (Ooh Ooh) (Feat. 호야 Of 인피니트),123.046875,43664,476.9866017,4306176,476.9866017
1320,소나기,97.50884434,19329,451.4231501,5922744,451.4231501
1321,Congratulations (Feat. Marc E. Bassy),178.205819,16836,421.0280632,3890616,421.0280632
1322,솔직히 (Honestly…),129.1992188,44028,402.9387121,4561080,402.9387121
1323,Potion (Feat. Woodie Gochild),135.9991776,50635,607.3276366,4684920,607.3276366
1324,Miss You,107.6660156,25641,433.846345,3806520,433.846345
1325,Runaway,120.1853198,40346,504.640545,3380280,504.640545
1326,Paradise,114.84375,36820,667.0258804,4559352,667.0258804
1327,그 밤,120.1853198,9061,386.7347804,4894008,386.7347804
